Song,Artist,Week,Rank
 Sexy And I Know It,LMFAO,2012-01-07,1
 We Found Love,"Rihanna, feat. Calvin Harris",2012-01-07,2
The One That Got Away,Katy Perry,2012-01-07,3
 It Will Rain,Bruno Mars,2012-01-07,4
 Ni**as In Paris,"Jay-Z, & Kanye West",2012-01-07,5
 Good Feeling,Flo Rida,2012-01-07,6
 Set Fire To The Rain,Adele,2012-01-07,7
 Someone Like You,Adele,2012-01-07,8
 Party Rock Anthem,"LMFAO, ft. Lauren Bennett & GoonRock",2012-01-07,9
 Dance (A$$),"Big Sean, ft. Nicki Minaj",2012-01-07,10
 Stereo Hearts,"Gym Class Heroes, ft. Adam Levine",2012-01-07,11
 Moves Like Jagger,"Maroon 5, ft. Christina Aguilera",2012-01-07,12
 5 O'Clock,"T-Pain, feat. Wiz Khalifa & Lily Allen",2012-01-07,13
 Without You,"David Guetta, ft. Usher",2012-01-07,14
 Headlines,Drake,2012-01-07,15
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-01-07,16
 Work Out,J. Cole,2012-01-07,17
 Red Solo Cup,Toby Keith,2012-01-07,18
 Mistletoe,Justin Bieber,2012-01-07,19
 Pumped Up Kicks,Foster The People,2012-01-07,20
The Motto,"Drake, ft. Lil Wayne",2012-01-07,21
 You Da One,Rihanna,2012-01-07,22
 Not Over You,Gavin DeGraw,2012-01-07,23
 Make Me Proud,"Drake, ft. Nicki Minaj",2012-01-07,24
 Domino,Jessie J,2012-01-07,25
 I Don't Want This Night To End,Luke Bryan,2012-01-07,26
 Love You Like A Love Song,Selena Gomez & The Scene,2012-01-07,27
 Super Bass,Nicki Minaj,2012-01-07,28
 I Like It Like That,"Hot Chelle Rae, ft. New Boyz",2012-01-07,29
 Safe & Sound,"Taylor Swift, ft. The Civil Wars",2012-01-07,30
 You Make Me Feel...,"Cobra Starship, ft. Sabi",2012-01-07,31
 Mr. Know It All,Kelly Clarkson,2012-01-07,32
 International Love,"Pitbull, feat. Chris Brown",2012-01-07,33
 It Girl,Jason Derulo,2012-01-07,34
 Rolling In The Deep,Adele,2012-01-07,35
 She Will,"Lil Wayne, ft. Drake",2012-01-07,36
 Just A Kiss,Lady Antebellum,2012-01-07,37
 Give Me Everything,"Pitbull, feat. Ne-Yo, AfroJack & Nayer",2012-01-07,38
 Marry The Night,Lady Gaga,2012-01-07,39
 Tattoos On This Town,Jason Aldean,2012-01-07,40
 Strange Clouds,"B.o.B, ft. Lil Wayne",2012-01-07,41
 Fly,"Nicki Minaj, ft. Rihanna",2012-01-07,42
 Paradise,Coldplay,2012-01-07,43
 Rack City,Tyga,2012-01-07,44
 Ours,Taylor Swift,2012-01-07,45
 God Gave Me You,Blake Shelton,2012-01-07,46
 Blackout,Breathe Carolina,2012-01-07,47
 Lotus Flower Bomb,"Wale, feat. Miguel",2012-01-07,48
 Take Care,"Drake, ft. Rihanna",2012-01-07,49
 Easy,"Rascal Flatts, feat. Natasha Bedingfield",2012-01-07,50
 Sexy And I Know It,LMFAO,2012-01-14,1
 We Found Love,"Rihanna, feat. Calvin Harris",2012-01-14,2
The One That Got Away,Katy Perry,2012-01-14,3
 It Will Rain,Bruno Mars,2012-01-14,4
 Good Feeling,Flo Rida,2012-01-14,5
 Party Rock Anthem,"LMFAO, ft. Lauren Bennett & GoonRock",2012-01-14,6
 Ni**as In Paris,"Jay-Z, & Kanye West",2012-01-14,7
 Set Fire To The Rain,Adele,2012-01-14,8
 Someone Like You,Adele,2012-01-14,9
 Stereo Hearts,"Gym Class Heroes, ft. Adam Levine",2012-01-14,10
 Moves Like Jagger,"Maroon 5, ft. Christina Aguilera",2012-01-14,11
 Dance (A$$),"Big Sean, ft. Nicki Minaj",2012-01-14,12
 Without You,"David Guetta, ft. Usher",2012-01-14,13
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-01-14,14
 Red Solo Cup,Toby Keith,2012-01-14,15
 5 O'Clock,"T-Pain, feat. Wiz Khalifa & Lily Allen",2012-01-14,16
 Work Out,J. Cole,2012-01-14,17
 Headlines,Drake,2012-01-14,18
 Pumped Up Kicks,Foster The People,2012-01-14,19
 Mr. Know It All,Kelly Clarkson,2012-01-14,20
 Domino,Jessie J,2012-01-14,21
 You Da One,Rihanna,2012-01-14,22
The Motto,"Drake, ft. Lil Wayne",2012-01-14,23
 Not Over You,Gavin DeGraw,2012-01-14,24
 Super Bass,Nicki Minaj,2012-01-14,25
 I Don't Want This Night To End,Luke Bryan,2012-01-14,26
 Love You Like A Love Song,Selena Gomez & The Scene,2012-01-14,27
 I Like It Like That,"Hot Chelle Rae, ft. New Boyz",2012-01-14,28
 You Make Me Feel...,"Cobra Starship, ft. Sabi",2012-01-14,29
 Rolling In The Deep,Adele,2012-01-14,30
 Safe & Sound,"Taylor Swift, ft. The Civil Wars",2012-01-14,31
 It Girl,Jason Derulo,2012-01-14,32
 International Love,"Pitbull, feat. Chris Brown",2012-01-14,33
 Make Me Proud,"Drake, ft. Nicki Minaj",2012-01-14,34
 Give Me Everything,"Pitbull, feat. Ne-Yo, AfroJack & Nayer",2012-01-14,35
 Just A Kiss,Lady Antebellum,2012-01-14,36
 Marry The Night,Lady Gaga,2012-01-14,37
 Paradise,Coldplay,2012-01-14,38
 God Gave Me You,Blake Shelton,2012-01-14,39
 Rack City,Tyga,2012-01-14,40
 Strange Clouds,"B.o.B, ft. Lil Wayne",2012-01-14,41
 Tattoos On This Town,Jason Aldean,2012-01-14,42
 Ours,Taylor Swift,2012-01-14,43
 She Will,"Lil Wayne, ft. Drake",2012-01-14,44
 Fly,"Nicki Minaj, ft. Rihanna",2012-01-14,45
 Blackout,Breathe Carolina,2012-01-14,46
 Drink In My Hand,Eric Church,2012-01-14,47
 Easy,"Rascal Flatts, feat. Natasha Bedingfield",2012-01-14,48
 Take Care,"Drake, ft. Rihanna",2012-01-14,49
A Thousand Years,Christina Perri,2012-01-14,50
 We Found Love,"Rihanna, feat. Calvin Harris",2012-01-21,1
 Sexy And I Know It,LMFAO,2012-01-21,2
 It Will Rain,Bruno Mars,2012-01-21,3
 Set Fire To The Rain,Adele,2012-01-21,4
 Good Feeling,Flo Rida,2012-01-21,5
The One That Got Away,Katy Perry,2012-01-21,6
 Ni**as In Paris,"Jay-Z, & Kanye West",2012-01-21,7
 I Won't Give Up,Jason Mraz,2012-01-21,8
 Party Rock Anthem,"LMFAO, ft. Lauren Bennett & GoonRock",2012-01-21,9
 Someone Like You,Adele,2012-01-21,10
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-01-21,11
 Moves Like Jagger,"Maroon 5, ft. Christina Aguilera",2012-01-21,12
 Dance (A$$),"Big Sean, ft. Nicki Minaj",2012-01-21,13
 Stereo Hearts,"Gym Class Heroes, ft. Adam Levine",2012-01-21,14
 Work Out,J. Cole,2012-01-21,15
 Without You,"David Guetta, ft. Usher",2012-01-21,16
 Domino,Jessie J,2012-01-21,17
 Headlines,Drake,2012-01-21,18
The Motto,"Drake, ft. Lil Wayne",2012-01-21,19
 Red Solo Cup,Toby Keith,2012-01-21,20
 Not Over You,Gavin DeGraw,2012-01-21,21
 5 O'Clock,"T-Pain, feat. Wiz Khalifa & Lily Allen",2012-01-21,22
 Rack City,Tyga,2012-01-21,23
 International Love,"Pitbull, feat. Chris Brown",2012-01-21,24
 Turn Me On,"David Guetta, ft. Nicki Minaj",2012-01-21,25
 You Da One,Rihanna,2012-01-21,26
 Mr. Know It All,Kelly Clarkson,2012-01-21,27
 Love You Like A Love Song,Selena Gomez & The Scene,2012-01-21,28
 I Don't Want This Night To End,Luke Bryan,2012-01-21,29
 Pumped Up Kicks,Foster The People,2012-01-21,30
 Make Me Proud,"Drake, ft. Nicki Minaj",2012-01-21,31
 You Make Me Feel...,"Cobra Starship, ft. Sabi",2012-01-21,32
 I Like It Like That,"Hot Chelle Rae, ft. New Boyz",2012-01-21,33
 Super Bass,Nicki Minaj,2012-01-21,34
 Give Me Everything,"Pitbull, feat. Ne-Yo, AfroJack & Nayer",2012-01-21,35
 Rolling In The Deep,Adele,2012-01-21,36
 Just A Kiss,Lady Antebellum,2012-01-21,37
 Paradise,Coldplay,2012-01-21,38
 Marry The Night,Lady Gaga,2012-01-21,39
 Safe & Sound,"Taylor Swift, ft. The Civil Wars",2012-01-21,40
 Blackout,Breathe Caroline,2012-01-21,41
 Drink In My Hand,Eric Church,2012-01-21,42
 Ours,Taylor Swift,2012-01-21,43
 Strange Clouds,"B.o.B, ft. Lil Wayne",2012-01-21,44
 Lotus Flower Bomb,"Wale, feat. Miguel",2012-01-21,45
 Take Care,"Drake, ft. Rihanna",2012-01-21,46
 It Girl,Jason Derulo,2012-01-21,47
 Tattoos On This Town,Jason Aldean,2012-01-21,48
 Keep Me In Mind,Zac Brown Band,2012-01-21,49
 She Will,"Lil Wayne, ft. Drake",2012-01-21,50
 We Found Love,"Rihanna, feat. Calvin Harris",2012-01-28,1
 Set Fire To The Rain,Adele,2012-01-28,2
 Good Feeling,Flo Rida,2012-01-28,3
 It Will Rain,Bruno Mars,2012-01-28,4
 Sexy And I Know It,LMFAO,2012-01-28,5
The One That Got Away,Katy Perry,2012-01-28,6
 Ni**as In Paris,"Jay-Z, & Kanye West",2012-01-28,7
 Rack City,Tyga,2012-01-28,8
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-01-28,9
 Turn Me On,"David Guetta, ft. Nicki Minaj",2012-01-28,10
 Dance (A$$),"Big Sean, ft. Nicki Minaj",2012-01-28,11
 Party Rock Anthem,"LMFAO, ft. Lauren Bennett & GoonRock",2012-01-28,12
 Work Out,J. Cole,2012-01-28,13
 Moves Like Jagger,"Maroon 5, ft. Christina Aguilera",2012-01-28,14
 Domino,Jessie J,2012-01-28,15
 Someone Like You,Adele,2012-01-28,16
 Stereo Hearts,"Gym Class Heroes, ft. Adam Levine",2012-01-28,17
 Without You,"David Guetta, ft. Usher",2012-01-28,18
 Not Over You,Gavin DeGraw,2012-01-28,19
The Motto,"Drake, ft. Lil Wayne",2012-01-28,20
 Stronger (What Doesn't Kill You),Kelly Clarkson,2012-01-28,21
 I Won't Give Up,Jason Mraz,2012-01-28,22
 International Love,"Pitbull, feat. Chris Brown",2012-01-28,23
 Love You Like A Love Song,Selena Gomez & The Scene,2012-01-28,24
 Headlines,Drake,2012-01-28,25
 Red Solo Cup,Toby Keith,2012-01-28,26
 I Don't Want This Night To End,Luke Bryan,2012-01-28,27
 You Da One,Rihanna,2012-01-28,28
 5 O'Clock,"T-Pain, feat. Wiz Khalifa & Lily Allen",2012-01-28,29
 I Like It Like That,"Hot Chelle Rae, ft. New Boyz",2012-01-28,30
 Make Me Proud,"Drake, ft. Nicki Minaj",2012-01-28,31
 Mr. Know It All,Kelly Clarkson,2012-01-28,32
 Ass Back Home,"Gym Class Heroes, ft. Neon Hitch",2012-01-28,33
 You Make Me Feel...,"Cobra Starship, ft. Sabi",2012-01-28,34
 Pumped Up Kicks,Foster The People,2012-01-28,35
 Just A Kiss,Lady Antebellum,2012-01-28,36
 Give Me Everything,"Pitbull, feat. Ne-Yo, AfroJack & Nayer",2012-01-28,37
 Paradise,Coldplay,2012-01-28,38
 Take Care,"Drake, ft. Rihanna",2012-01-28,39
 Rolling In The Deep,Adele,2012-01-28,40
 Drink In My Hand,Eric Church,2012-01-28,41
 Blackout,Breathe Carolina,2012-01-28,42
 Super Bass,Nicki Minaj,2012-01-28,43
 Lotus Flower Bomb,"Wale, feat. Miguel",2012-01-28,44
 You,Chris Young,2012-01-28,45
 Tonight Is The Night,Outasight,2012-01-28,46
 Ours,Taylor Swift,2012-01-28,47
 Strange Clouds,"B.o.B, ft. Lil Wayne",2012-01-28,48
 All Your Life,The Band Perry,2012-01-28,49
 Keep Me In Mind,Zac Brown Band,2012-01-28,50
 Set Fire To The Rain,Adele,2012-02-04,1
 We Found Love,"Rihanna, feat. Calvin Harris",2012-02-04,2
 Good Feeling,Flo Rida,2012-02-04,3
 Turn Me On,"David Guetta, ft. Nicki Minaj",2012-02-04,4
The One That Got Away,Katy Perry,2012-02-04,5
 It Will Rain,Bruno Mars,2012-02-04,6
 Sexy And I Know It,LMFAO,2012-02-04,7
 Stronger (What Doesn't Kill You),Kelly Clarkson,2012-02-04,8
 Ni**as In Paris,"Jay-Z, & Kanye West",2012-02-04,9
 Domino,Jessie J,2012-02-04,10
 Rack City,Tyga,2012-02-04,11
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-02-04,12
 Moves Like Jagger,"Maroon 5, ft. Christina Aguilera",2012-02-04,13
 Dance (A$$),"Big Sean, ft. Nicki Minaj",2012-02-04,14
 Work Out,J. Cole,2012-02-04,15
 Party Rock Anthem,"LMFAO, ft. Lauren Bennett & GoonRock",2012-02-04,16
 Without You,"David Guetta, ft. Usher",2012-02-04,17
 International Love,"Pitbull, feat. Chris Brown",2012-02-04,18
 Someone Like You,Adele,2012-02-04,19
 Not Over You,Gavin DeGraw,2012-02-04,20
The Motto,"Drake, ft. Lil Wayne",2012-02-04,21
 Stereo Hearts,"Gym Class Heroes, ft. Adam Levine",2012-02-04,22
 Love You Like A Love Song,Selena Gomez & The Scene,2012-02-04,23
 Ass Back Home,"Gym Class Heroes, ft. Neon Hitch",2012-02-04,24
 You Da One,Rihanna,2012-02-04,25
 I Don't Want This Night To End,Luke Bryan,2012-02-04,26
 Red Solo Cup,Toby Keith,2012-02-04,27
 Without You,Glee Cast,2012-02-04,28
 I Like It Like That,"Hot Chelle Rae, ft. New Boyz",2012-02-04,29
 Take Care,"Drake, ft. Rihanna",2012-02-04,30
 Make Me Proud,"Drake, ft. Nicki Minaj",2012-02-04,31
 Blackout,Breathe Carolina,2012-02-04,32
 Headlines,Drake,2012-02-04,33
 Mr. Know It All,Kelly Clarkson,2012-02-04,34
 Paradise,Coldplay,2012-02-04,35
 You Make Me Feel...,"Cobra Starship, ft. Sabi",2012-02-04,36
 You,Chris Young,2012-02-04,37
 Just A Kiss,Lady Antebellum,2012-02-04,38
 Give Me Everything,"Pitbull, feat. Ne-Yo, AfroJack & Nayer",2012-02-04,39
 5 O'Clock,"T-Pain, feat. Wiz Khalifa & Lily Allen",2012-02-04,40
 Rolling In The Deep,Adele,2012-02-04,41
 Pumped Up Kicks,Foster The People,2012-02-04,42
 Drink In My Hand,Eric Church,2012-02-04,43
 Ours,Taylor Swift,2012-02-04,44
 Tonight Is The Night,Outasight,2012-02-04,45
 Lotus Flower Bomb,"Wale, feat. Miguel",2012-02-04,46
 All Your Life,The Band Perry,2012-02-04,47
 Brighter Than The Sun,Colbie Caillat,2012-02-04,48
 Super Bass,Nicki Minaj,2012-02-04,49
 Somebody That I Used To Know,"Gotye, ft. Kimbra",2012-02-04,50
 Set Fire To The Rain,Adele,2012-02-11,1
 Stronger (What Doesn't Kill You),Kelly Clarkson,2012-02-11,2
 We Found Love,"Rihanna, feat. Calvin Harris",2012-02-11,3
 Good Feeling,Flo Rida,2012-02-11,4
 Turn Me On,"David Guetta, ft. Nicki Minaj",2012-02-11,5
 It Will Rain,Bruno Mars,2012-02-11,6
 Sexy And I Know It,LMFAO,2012-02-11,7
 Domino,Jessie J,2012-02-11,8
The One That Got Away,Katy Perry,2012-02-11,9
 Rack City,Tyga,2012-02-11,10
 Ni**as In Paris,"Jay-Z, & Kanye West",2012-02-11,11
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-02-11,12
 International Love,"Pitbull, feat. Chris Brown",2012-02-11,13
 Dance (A$$),"Big Sean, ft. Nicki Minaj",2012-02-11,14
 Moves Like Jagger,"Maroon 5, ft. Christina Aguilera",2012-02-11,15
The Motto,"Drake, ft. Lil Wayne",2012-02-11,16
 Work Out,J. Cole,2012-02-11,17
 Not Over You,Gavin DeGraw,2012-02-11,18
 Ass Back Home,"Gym Class Heroes, ft. Neon Hitch",2012-02-11,19
 Party Rock Anthem,"LMFAO, ft. Lauren Bennett & GoonRock",2012-02-11,20
 Someone Like You,Adele,2012-02-11,21
 Without You,"David Guetta, ft. Usher",2012-02-11,22
 Love You Like A Love Song,Selena Gomez & The Scene,2012-02-11,23
 Stereo Hearts,"Gym Class Heroes, ft. Adam Levine",2012-02-11,24
 I Don't Want This Night To End,Luke Bryan,2012-02-11,25
 Take Care,"Drake, ft. Rihanna",2012-02-11,26
 Red Solo Cup,Toby Keith,2012-02-11,27
 You Da One,Rihanna,2012-02-11,28
 I Like It Like That,"Hot Chelle Rae, ft. New Boyz",2012-02-11,29
 Make Me Proud,"Drake, ft. Nicki Minaj",2012-02-11,30
 Somebody That I Used To Know,"Gotye, ft. Kimbra",2012-02-11,31
 Paradise,Coldplay,2012-02-11,32
 Blackout,Breathe Carolina,2012-02-11,33
 You,Chris Young,2012-02-11,34
 Mr. Know It All,Kelly Clarkson,2012-02-11,35
 Headlines,Drake,2012-02-11,36
 Just A Kiss,Lady Antebellum,2012-02-11,37
 Tonight Is The Night,Outasight,2012-02-11,38
 You Make Me Feel...,"Cobra Starship, ft. Sabi",2012-02-11,39
 Glad You Came,The Wanted,2012-02-11,40
 All Your Life,The Band Perry,2012-02-11,41
 Strip,"Chris Brown, ft. Kevin McCall",2012-02-11,42
 Rolling In The Deep,Adele,2012-02-11,43
 Lotus Flower Bomb,"Wale, feat. Miguel",2012-02-11,44
 Give Me Everything,"Pitbull, feat. Ne-Yo, AfroJack & Nayer",2012-02-11,45
 Ours,Taylor Swift,2012-02-11,46
 Brighter Than The Sun,Colbie Caillat,2012-02-11,47
 Drink In My Hand,Eric Church,2012-02-11,48
 Pumped Up Kicks,Foster The People,2012-02-11,49
 Alone With You,Jake Owen,2012-02-11,50
 Stronger (What Doesn't Kill You),Kelly Clarkson,2012-02-18,1
 Set Fire To The Rain,Adele,2012-02-18,2
 Good Feeling,Flo Rida,2012-02-18,3
 We Found Love,"Rihanna, feat. Calvin Harris",2012-02-18,4
 Turn Me On,"David Guetta, ft. Nicki Minaj",2012-02-18,5
 Domino,Jessie J,2012-02-18,6
 Rack City,Tyga,2012-02-18,7
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-02-18,8
 Sexy And I Know It,LMFAO,2012-02-18,9
 It Will Rain,Bruno Mars,2012-02-18,10
 Ni**as In Paris,"Jay-Z, & Kanye West",2012-02-18,11
 Ass Back Home,"Gym Class Heroes, ft. Neon Hitch",2012-02-18,12
 Give Me All Your Luvin',"Madonna, ft. Nicki Minaj & M.I.A.",2012-02-18,13
The One That Got Away,Katy Perry,2012-02-18,14
 International Love,"Pitbull, feat. Chris Brown",2012-02-18,15
The Motto,"Drake, ft. Lil Wayne",2012-02-18,16
 Dance (A$$),"Big Sean, ft. Nicki Minaj",2012-02-18,17
 Moves Like Jagger,"Maroon 5, ft. Christina Aguilera",2012-02-18,18
 Not Over You,Gavin DeGraw,2012-02-18,19
 Party Rock Anthem,"LMFAO, ft. Lauren Bennett & GoonRock",2012-02-18,20
 Work Out,J. Cole,2012-02-18,21
 Someone Like You,Adele,2012-02-18,22
 Take Care,"Drake, ft. Rihanna",2012-02-18,23
 Without You,"David Guetta, ft. Usher",2012-02-18,24
 Love You Like A Love Song,Selena Gomez & The Scene,2012-02-18,25
 Smooth Criminal,"Glee Cast, ft. 2Cellos",2012-02-18,26
 Somebody That I Used To Know,"Gotye, ft. Kimbra",2012-02-18,27
 I Don't Want This Night To End,Luke Bryan,2012-02-18,28
 Stereo Hearts,"Gym Class Heroes, ft. Adam Levine",2012-02-18,29
 Glad You Came,The Wanted,2012-02-18,30
 Red Solo Cup,Toby Keith,2012-02-18,31
 I Like It Like That,"Hot Chelle Rae, ft. New Boyz",2012-02-18,32
 Make Me Proud,"Drake, ft. Nicki Minaj",2012-02-18,33
 You Da One,Rihanna,2012-02-18,34
 You,Chris Young,2012-02-18,35
 Paradise,Coldplay,2012-02-18,36
 All Your Life,The Band Perry,2012-02-18,37
A Thousand Years,Christina Perri,2012-02-18,38
 Strip,"Chris Brown, ft. Kevin McCall",2012-02-18,39
 Blackout,Breathe Carolina,2012-02-18,40
 We Are Young,"fun., ft. Janelle Monae",2012-02-18,41
 Ours,Taylor Swift,2012-02-18,42
 Tonight Is The Night,Outasight,2012-02-18,43
 Rolling In The Deep,Adele,2012-02-18,44
 Mr. Know It All,Kelly Clarkson,2012-02-18,45
 Just A Kiss,Lady Antebellum,2012-02-18,46
 Brighter Than The Sun,Colbie Caillat,2012-02-18,47
 Lotus Flower Bomb,"Wale, feat. Miguel",2012-02-18,48
 Give Me Everything,"Pitbull, feat. Ne-Yo, AfroJack & Nayer",2012-02-18,49
 Alone With You,Jake Owen,2012-02-18,50
 Stronger (What Doesn't Kill You),Kelly Clarkson,2012-02-25,1
 Set Fire To The Rain,Adele,2012-02-25,2
 We Are Young,"fun., ft. Janelle Monae",2012-02-25,3
 Sexy And I Know It,LMFAO,2012-02-25,4
 Good Feeling,Flo Rida,2012-02-25,5
 We Found Love,"Rihanna, feat. Calvin Harris",2012-02-25,6
 I Will Always Love You [re-release],Whitney Houston,2012-02-25,7
 Turn Me On,"David Guetta, ft. Nicki Minaj",2012-02-25,8
 Rack City,Tyga,2012-02-25,9
 Give Me All Your Luvin',"Madonna, ft. Nicki Minaj & M.I.A.",2012-02-25,10
 Someone Like You,Adele,2012-02-25,11
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-02-25,12
 It Will Rain,Bruno Mars,2012-02-25,13
 Domino,Jessie J,2012-02-25,14
 Ass Back Home,"Gym Class Heroes, ft. Neon Hitch",2012-02-25,15
 International Love,"Pitbull, feat. Chris Brown",2012-02-25,16
 Rolling In The Deep,Adele,2012-02-25,17
 Party Rock Anthem,"LMFAO, ft. Lauren Bennett & GoonRock",2012-02-25,18
The Motto,"Drake, ft. Lil Wayne",2012-02-25,19
 Ni**as In Paris,"Jay-Z, & Kanye West",2012-02-25,20
The One That Got Away,Katy Perry,2012-02-25,21
 Take Care,"Drake, ft. Rihanna",2012-02-25,22
 Moves Like Jagger,"Maroon 5, ft. Christina Aguilera",2012-02-25,23
 Not Over You,Gavin DeGraw,2012-02-25,24
 Glad You Came,The Wanted,2012-02-25,25
 Somebody That I Used To Know,"Gotye, ft. Kimbra",2012-02-25,26
 Dance (A$$),"Big Sean, ft. Nicki Minaj",2012-02-25,27
 Work Out,J. Cole,2012-02-25,28
 Paradise,Coldplay,2012-02-25,29
 Love You Like A Love Song,Selena Gomez & The Scene,2012-02-25,30
A Thousand Years,Christina Perri,2012-02-25,31
 Without You,"David Guetta, ft. Usher",2012-02-25,32
 Stereo Hearts,"Gym Class Heroes, ft. Adam Levine",2012-02-25,33
 I Don't Want This Night To End,Luke Bryan,2012-02-25,34
 I Wanna Dance With Somebody [re-release],Whitney Houston,2012-02-25,35
 Red Solo Cup,Toby Keith,2012-02-25,36
 Make Me Proud,"Drake, ft. Nicki Minaj",2012-02-25,37
 I Like It Like That,"Hot Chelle Rae, ft. New Boyz",2012-02-25,38
 Strip,"Chris Brown, ft. Kevin McCall",2012-02-25,39
 All Your Life,The Band Perry,2012-02-25,40
 Greatest Love Of All [re-release],Whitney Houston,2012-02-25,41
 Heartbeat,The Fray,2012-02-25,42
 Drive By,Train,2012-02-25,43
 Home,Dierks Bentley,2012-02-25,44
 Blackout,Breathe Carolina,2012-02-25,45
 You,Chris Young,2012-02-25,46
 Ours,Taylor Swift,2012-02-25,47
 Tonight Is The Night,Outasight,2012-02-25,48
 Mr. Know It All,Kelly Clarkson,2012-02-25,49
 Just A Kiss,Lady Antebellum,2012-02-25,50
 Part Of Me,Katy Perry,2012-03-03,1
 Set Fire To The Rain,Adele,2012-03-03,2
 I Will Always Love You [re-release],Whitney Houston,2012-03-03,3
 Stronger (What Doesn't Kill You),Kelly Clarkson,2012-03-03,4
 Rolling In The Deep,Adele,2012-03-03,5
 We Are Young,"fun., ft. Janelle Monae",2012-03-03,6
 Someone Like You,Adele,2012-03-03,7
 We Found Love,"Rihanna, feat. Calvin Harris",2012-03-03,8
 Starships,Nicki Minaj,2012-03-03,9
 Turn Up The Music,Chris Brown,2012-03-03,10
 Turn Me On,"David Guetta, ft. Nicki Minaj",2012-03-03,11
 Good Feeling,Flo Rida,2012-03-03,12
 Sexy And I Know It,LMFAO,2012-03-03,13
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-03-03,14
 Rack City,Tyga,2012-03-03,15
 It Will Rain,Bruno Mars,2012-03-03,16
 International Love,"Pitbull, feat. Chris Brown",2012-03-03,17
 Domino,Jessie J,2012-03-03,18
The Motto,"Drake, ft. Lil Wayne",2012-03-03,19
 Paradise,Coldplay,2012-03-03,20
 Take Care,"Drake, ft. Rihanna",2012-03-03,21
 Love You Like A Love Song,Selena Gomez & The Scene,2012-03-03,22
 Glad You Came,The Wanted,2012-03-03,23
 Ni**as In Paris,"Jay-Z, & Kanye West",2012-03-03,24
 I Wanna Dance With Somebody [re-release],Whitney Houston,2012-03-03,25
 Ass Back Home,"Gym Class Heroes, ft. Neon Hitch",2012-03-03,26
 Somebody That I Used To Know,"Gotye, ft. Kimbra",2012-03-03,27
 What Makes You Beautiful,One Direction,2012-03-03,28
 Party Rock Anthem,"LMFAO, ft. Lauren Bennett & GoonRock",2012-03-03,29
The One That Got Away,Katy Perry,2012-03-03,30
 Moves Like Jagger,"Maroon 5, ft. Christina Aguilera",2012-03-03,31
 Not Over You,Gavin DeGraw,2012-03-03,32
 Dance (A$$),"Big Sean, ft. Nicki Minaj",2012-03-03,33
 Work Out,J. Cole,2012-03-03,34
A Thousand Years,Christina Perri,2012-03-03,35
 Greatest Love Of All [re-release],Whitney Houston,2012-03-03,36
 Without You,"David Guetta, ft. Usher",2012-03-03,37
 Stereo Hearts,"Gym Class Heroes, ft. Adam Levine",2012-03-03,38
 Give Me All Your Luvin',"Madonna, ft. Nicki Minaj & M.I.A.",2012-03-03,39
 I Don't Want This Night To End,Luke Bryan,2012-03-03,40
 Red Solo Cup,Toby Keith,2012-03-03,41
 Strip,"Chris Brown, ft. Kevin McCall",2012-03-03,42
 Drive By,Train,2012-03-03,43
 I Like It Like That,"Hot Chelle Rae, ft. New Boyz",2012-03-03,44
 Wild Ones,"Flo Rida, ft. Sia",2012-03-03,45
 Ours,Taylor Swift,2012-03-03,46
 Make Me Proud,"Drake, ft. Nicki Minaj",2012-03-03,47
 Just A Kiss,Lady Antebellum,2012-03-03,48
 How Will I Know [re-release],Whitney Houston,2012-03-03,49
 Runaway Baby,Bruno Mars,2012-03-03,50
 Stronger (What Doesn't Kill You),Kelly Clarkson,2012-03-10,1
 Set Fire To The Rain,Adele,2012-03-10,2
 We Are Young,"fun., ft. Janelle Monae",2012-03-10,3
 Part Of Me,Katy Perry,2012-03-10,4
 Glad You Came,The Wanted,2012-03-10,5
 We Found Love,"Rihanna, feat. Calvin Harris",2012-03-10,6
 Good Feeling,Flo Rida,2012-03-10,7
 Turn Me On,"David Guetta, ft. Nicki Minaj",2012-03-10,8
" Young, Wild & Free","Snoop Dogg and Wiz Khalifa, feat. Bruno Mars",2012-03-10,9
 Starships,Nicki Minaj,2012-03-10,10
 So Good,B.o.B,2012-03-10,11
 Sexy And I Know It,LMFAO,2012-03-10,12
 International Love,"Pitbull, feat. Chris Brown",2012-03-10,13
 Domino,Jessie J,2012-03-10,14
 Take Care,"Drake, ft. Rihanna",2012-03-10,15
 Somebody That I Used To Know,"Gotye, ft. Kimbra",2012-03-10,16
The Motto,"Drake, ft. Lil Wayne",2012-03-10,17
 Rack City,Tyga,2012-03-10,18
 Turn Up The Music,Chris Brown,2012-03-10,19
